Variable,Method,Horizon,Period,NFixed,NRecursive
UNEMP,nowcast_proxy,4,2000Q1--2025Q2*,94,94
UNEMP,nowcast_proxy,4,2000Q1--2008Q4,36,36
UNEMP,nowcast_proxy,4,2000Q1--2019Q4,80,80
UNEMP,nowcast_proxy,4,2010Q1--2019Q4,40,40
UNEMP,nowcast_proxy,4,2022Q1--2025Q2,14,14
RGDP,nowcast_proxy,4,1969Q1--2025Q2,214,214
RGDP,nowcast_proxy,4,1969Q1--2025Q2*,206,206
RGDP,nowcast_proxy,4,1969Q1--1999Q4,111,111
RGDP,nowcast_proxy,4,2000Q1--2025Q2,103,103
RGDP,nowcast_proxy,4,2000Q1--2025Q2*,95,95
RGDP,nowcast_proxy,4,2000Q1--2008Q4,36,36
RGDP,nowcast_proxy,4,2000Q1--2019Q4,80,80
RGDP,nowcast_proxy,4,2010Q1--2019Q4,40,40
RGDP,nowcast_proxy,4,2022Q1--2025Q2,15,15
INDPROD,nowcast_proxy,4,1969Q1--2025Q2,213,213
INDPROD,nowcast_proxy,4,1969Q1--2025Q2*,205,205
INDPROD,nowcast_proxy,4,1969Q1--1999Q4,111,111
INDPROD,nowcast_proxy,4,2000Q1--2025Q2,102,102
INDPROD,nowcast_proxy,4,2000Q1--2025Q2*,94,94
INDPROD,nowcast_proxy,4,2000Q1--2008Q4,36,36
INDPROD,nowcast_proxy,4,2000Q1--2019Q4,80,80
INDPROD,nowcast_proxy,4,2010Q1--2019Q4,40,40
INDPROD,nowcast_proxy,4,2022Q1--2025Q2,14,14
CPI,nowcast_proxy,4,1981Q3--2025Q2,168,168
CPI,nowcast_proxy,4,1981Q3--2025Q2*,160,160
CPI,nowcast_proxy,4,1981Q3--1999Q4,66,66
CPI,nowcast_proxy,4,2000Q1--2025Q2,102,102
CPI,nowcast_proxy,4,2000Q1--2025Q2*,94,94
CPI,nowcast_proxy,4,2000Q1--2008Q4,36,36
CPI,nowcast_proxy,4,2000Q1--2019Q4,80,80
CPI,nowcast_proxy,4,2010Q1--2019Q4,40,40
CPI,nowcast_proxy,4,2022Q1--2025Q2,14,14
